Name,Pos,Nationality,GP,Possible_GP,Qualify_Pct,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,PTS_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,PIM_GP,PlusMinus_GP,Height_in,Weight_lbs,BMI,Fights,CF_pct_5v5,xGF_pct_5v5,ixG_60_5v5
Noah Dobson,D,CAN,308.0,328,0.939,22.636958874458873,18.873106060606062,2.6825757575757576,1.0812770562770562,0.387,1.377,1.764,6.317,5.146,2.263,0.534,0.383,0.016,76.0,200.0,24.34,0,49.71,49.81,0.213
Noah Hanifin,D,USA,312.0,328,0.9512,22.583974358974363,19.24551282051282,1.518162393162393,1.820299145299145,0.281,1.013,1.294,5.279,4.019,1.856,0.324,0.272,0.093,75.0,206.0,25.75,1,52.6,54.29,0.205
Noah Laba,C,USA,74.0,82,0.9024,13.433333333333332,11.733333333333333,0.5333333333333333,1.1666666666666667,0.543,0.905,1.449,4.406,2.595,6.639,0.302,0.419,0.027,75.0,214.0,26.75,1,45.94,45.57,0.571
Noel Acciari,C,USA,278.0,328,0.8476,13.715347721822543,11.432553956834532,0.07224220623501194,2.2105515587529974,0.567,0.488,1.054,5.177,5.161,9.646,0.0,0.259,-0.079,71.0,204.0,28.45,2,44.72,46.29,0.731
Oliver Bjorkstrand,RW,DNK,322.0,328,0.9817,15.137060041407867,12.617132505175984,2.519927536231884,0.0,0.899,1.342,2.24,8.223,1.625,3.558,0.751,0.193,-0.102,72.0,175.0,23.73,2,51.88,50.98,0.629
Oliver Ekman-Larsson,D,SWE,289.0,328,0.8811,20.01309111880046,17.356459054209918,1.7014994232987313,0.955132641291811,0.239,1.027,1.266,4.554,2.78,3.703,0.29,0.761,-0.021,74.0,190.0,24.39,0,50.19,49.94,0.182
Olli MÃ¤Ã¤ttÃ¤,D,FIN,270.0,328,0.8232,17.97574074074074,16.58351851851852,0.04290123456790122,1.3493209876543208,0.173,0.742,0.915,2.683,5.069,1.966,0.0,0.178,0.022,74.0,207.0,26.57,0,47.73,50.92,0.156
OndÅej PalÃ¡t,LW,,277.0,328,0.8445,14.254211793020456,12.876413959085442,1.0598074608904933,0.31799037304452465,0.593,0.881,1.474,5.562,3.313,6.367,0.213,0.249,-0.072,,,,0,,,
Oskar Back,C,SWE,145.0,164,0.8841,12.014367816091953,10.100459770114941,0.02505747126436777,1.8888505747126436,0.31,0.654,0.964,2.962,2.48,1.963,0.0,0.124,0.076,76.0,207.0,25.19,0,,,
Oskar Sundqvist,C,SWE,257.0,328,0.7835,13.31141374837873,10.878599221789882,1.3132944228274968,1.1195201037613487,0.474,1.035,1.508,4.104,2.736,5.121,0.368,0.459,-0.132,75.0,210.0,26.25,0,41.79,42.41,0.427
Owen Power,D,CAN,315.0,328,0.9604,22.38216931216931,19.304074074074077,1.5122222222222224,1.5658730158730159,0.213,0.953,1.166,4.23,3.447,1.081,0.17,0.267,0.044,78.0,226.0,26.11,0,51.55,48.01,0.203
Owen Tippett,RW,CAN,313.0,328,0.9543,16.69712460063898,14.194888178913738,2.2836528221512244,0.21858359957401488,1.183,1.068,2.25,10.654,2.629,6.36,0.39,0.243,-0.128,73.0,210.0,27.7,0,50.39,52.99,0.848
Parker Kelly,F,CAN,297.0,328,0.9055,12.015544332210998,9.862008978675647,0.046801346801346774,2.106734006734007,0.639,0.639,1.278,5.851,3.733,11.45,0.0,0.424,0.0,73.0,185.0,24.41,4,53.25,52.95,0.608
Patrick Kane,RW,USA,262.0,328,0.7988,18.325381679389313,15.159923664122136,3.1654580152671756,0.0,0.975,1.775,2.749,8.973,0.987,0.837,1.062,0.229,-0.168,70.0,176.0,25.25,0,48.61,48.86,0.617
Paul Cotter,C,USA,289.0,328,0.8811,12.26660899653979,11.876124567474047,0.37226066897347165,0.01822376009227219,0.762,0.592,1.354,5.534,1.693,14.183,0.085,0.474,-0.187,74.0,213.0,27.34,3,47.05,47.61,0.654
Pavel Buchnevich,LW,RUS,300.0,328,0.9146,19.017,14.81172222222222,2.6674444444444445,1.5378333333333334,0.978,1.493,2.471,6.489,1.294,1.798,0.694,0.443,0.057,73.0,196.0,25.86,1,50.06,49.37,0.699
Pavel Mintyukov,D,RUS,204.0,246,0.8293,18.251307189542484,15.708741830065359,1.1666666666666665,1.3758986928104575,0.274,0.838,1.112,3.803,4.335,3.304,0.193,0.299,-0.132,73.0,207.0,27.31,1,46.26,46.81,0.228
Pavel Zacha,C,CZE,320.0,328,0.9756,17.49677083333333,13.619687500000001,2.486354166666667,1.3907291666666666,0.922,1.522,2.443,5.808,1.147,3.215,0.557,0.259,0.106,76.0,211.0,25.68,1,48.31,48.04,0.624
Peyton Krebs,C,CAN,317.0,328,0.9665,13.484227129337539,12.551945320715038,0.5095688748685595,0.4227129337539432,0.491,1.053,1.544,4.562,1.628,7.552,0.07,0.804,0.025,72.0,188.0,25.49,11,49.82,47.39,0.487
Philipp Kurashev,C,CHE,239.0,328,0.7287,16.75460251046025,14.185146443514647,1.9299163179916319,0.6395397489539749,0.614,1.079,1.693,5.394,1.678,2.023,0.39,0.28,-0.431,72.0,190.0,25.77,1,43.03,41.82,0.459
Phillip Danault,C,CAN,315.0,328,0.9604,17.397566137566137,14.08074074074074,1.4817989417989417,1.835026455026455,0.536,1.226,1.763,5.737,2.715,3.361,0.328,0.422,0.067,73.0,200.0,26.38,1,54.4,53.89,0.668
Pierre-Luc Dubois,LW,CAN,266.0,328,0.811,17.04329573934837,14.427130325814534,2.531641604010025,0.08452380952380947,0.9,1.588,2.488,7.081,2.104,3.375,0.675,0.91,0.071,76.0,220.0,26.78,1,51.73,53.63,0.735
