Name,Pos,Group,Nationality,GP,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,PIM_GP,Fights,xGF_pct_5v5,ixG_60_5v5,Height_in,Weight_lbs,BMI,Cluster,Auto_Label
Ty Emberson,D,D,USA,178.0,15.83052434456929,14.251123595505616,0.0352059925093632,1.5441947565543073,0.106,0.639,2.96,5.302,6.942,0.021,14.251123595505616,0.0352059925093632,1.5441947565543073,0.264,3,48.45,0.098,72.0,193.0,26.17,0,Defensive Defenseman
Tyler Myers,D,D,CAN,299.0,20.01571906354515,17.45440356744704,0.2757525083612039,2.2855629877369013,0.13,0.682,3.689,5.273,3.76,0.01,17.45440356744704,0.2757525083612039,2.2855629877369013,0.933,4,49.04,0.182,80.0,229.0,25.15,0,Defensive Defenseman
Zach Bogosian,D,D,USA,233.0,15.972460658082976,14.64656652360515,0.0349070100143061,1.2909871244635192,0.161,0.5,3.966,4.031,5.659,0.0,14.64656652360515,0.0349070100143061,1.2909871244635192,0.712,3,48.59,0.128,75.0,231.0,28.87,0,Defensive Defenseman
Zach Whitecloud,D,D,CAN,272.0,18.218198529411765,16.616911764705883,0.0340686274509803,1.5672181372549023,0.157,0.521,3.075,5.388,5.57,0.0,16.616911764705883,0.0340686274509803,1.5672181372549023,0.515,3,49.99,0.132,74.0,210.0,26.96,0,Defensive Defenseman
Adam Fox,D,D,USA,283.0,23.67479387514723,18.659246171967016,3.336395759717314,1.6791519434628974,0.43,1.89,4.675,3.851,1.191,0.931,18.659246171967016,3.336395759717314,1.6791519434628974,0.431,0,55.1,0.243,71.0,185.0,25.8,1,Playmaker
Brandon Montour,D,D,CAN,291.0,23.27205040091638,19.631729667812134,3.138888888888889,0.5014318442153494,0.47,1.116,7.23,2.995,3.145,0.611,19.631729667812134,3.138888888888889,0.5014318442153494,0.921,5,49.32,0.308,72.0,199.0,26.99,1,Playmaker
Cale Makar,D,D,CAN,292.0,25.355878995433788,19.08093607305936,3.959931506849315,2.315011415525114,0.713,1.937,6.904,3.817,1.524,1.078,19.08093607305936,3.959931506849315,2.315011415525114,0.288,0,55.05,0.377,72.0,187.0,25.36,1,Playmaker
Darren Raddysh,D,D,CAN,245.0,19.421428571428567,16.964285714285715,1.8878911564625849,0.5692517006802721,0.441,1.362,5.624,3.253,2.585,0.53,16.964285714285715,1.8878911564625849,0.5692517006802721,0.453,3,53.92,0.194,73.0,202.0,26.65,1,Playmaker
Dougie Hamilton,D,D,CAN,243.0,21.10404663923182,17.906104252400546,2.5906721536351163,0.607270233196159,0.562,1.416,8.471,3.182,2.843,0.76,17.906104252400546,2.5906721536351163,0.607270233196159,0.617,0,52.93,0.303,78.0,230.0,26.58,1,Playmaker
Erik Karlsson,D,D,SWE,321.0,24.170872274143303,20.2438733125649,3.15877466251298,0.7682242990654206,0.479,1.655,6.101,2.683,0.943,0.657,20.2438733125649,3.15877466251298,0.7682242990654206,0.38,0,51.99,0.232,72.0,185.0,25.09,1,Playmaker
